date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:43:06%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/itemmall/	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/itemmall/index.html	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:07%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/itemmall/kostum.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/itemmall/kostum.33.delayed	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:08%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/download/game.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/download/game.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:08%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/download/game.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/download/game.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:08%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/download/update.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/download/update.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:09%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/download/wallpaper.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/download/wallpaper.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:09%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/download/video.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/download/video.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:10%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/download/emotikon.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/download/emotikon.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:10%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/download/flash.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/download/flash.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:44:10%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/layanan/lowongan.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/layanan/lowongan.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
